tdb,r_m,r_rsun,speed_km_s,z_depth,c_far_m_s,dc_over_c,z_earth,z_spec,rr_geom_km_s,f_doppler_1way_frac
2024-Dec-24 11:09:00.0000,6.867461e+09,9.871296,190.698108,2.150176e-07,299792329.078695,4.300352e-07,1.003551e-08,2.049821e-07,150.596304,5.023352e-04
2024-Dec-24 11:10:00.0000,6.867169e+09,9.870877,190.702409,2.150267e-07,299792329.073223,4.300534e-07,1.003551e-08,2.049912e-07,150.704499,5.026961e-04
2024-Dec-24 11:11:00.0000,6.866887e+09,9.870471,190.706578,2.150356e-07,299792329.067919,4.300711e-07,1.003551e-08,2.050001e-07,150.812468,5.030562e-04
2024-Dec-24 11:12:00.0000,6.866613e+09,9.870078,190.710616,2.150442e-07,299792329.062782,4.300883e-07,1.003551e-08,2.050086e-07,150.920211,5.034156e-04
2024-Dec-24 11:13:00.0000,6.866348e+09,9.869697,190.714522,2.150524e-07,299792329.057811,4.301048e-07,1.003551e-08,2.050169e-07,151.027727,5.037743e-04
2024-Dec-24 11:14:00.0000,6.866093e+09,9.869330,190.718297,2.150605e-07,299792329.053009,4.301209e-07,1.003551e-08,2.050249e-07,151.135015,5.041321e-04
2024-Dec-24 11:15:00.0000,6.865846e+09,9.868975,190.721940,2.150682e-07,299792329.048373,4.301363e-07,1.003551e-08,2.050327e-07,151.242076,5.044893e-04
2024-Dec-24 11:16:00.0000,6.865608e+09,9.868633,190.725452,2.150756e-07,299792329.043905,4.301512e-07,1.003551e-08,2.050401e-07,151.348908,5.048456e-04
2024-Dec-24 11:17:00.0000,6.865379e+09,9.868304,190.728832,2.150828e-07,299792329.039604,4.301656e-07,1.003551e-08,2.050473e-07,151.455510,5.052012e-04
2024-Dec-24 11:18:00.0000,6.865159e+09,9.867987,190.732080,2.150897e-07,299792329.035471,4.301794e-07,1.003551e-08,2.050542e-07,151.561883,5.055560e-04
2024-Dec-24 11:19:00.0000,6.864948e+09,9.867684,190.735197,2.150963e-07,299792329.031505,4.301926e-07,1.003551e-08,2.050608e-07,151.668025,5.059101e-04
2024-Dec-24 11:20:00.0000,6.864746e+09,9.867393,190.738182,2.151027e-07,299792329.027707,4.302053e-07,1.003551e-08,2.050671e-07,151.773937,5.062634e-04
2024-Dec-24 11:21:00.0000,6.864552e+09,9.867116,190.741035,2.151087e-07,299792329.024077,4.302174e-07,1.003551e-08,2.050732e-07,151.879616,5.066159e-04
2024-Dec-24 11:22:00.0000,6.864368e+09,9.866851,190.743756,2.151145e-07,299792329.020614,4.302289e-07,1.003551e-08,2.050790e-07,151.985063,5.069676e-04
2024-Dec-24 11:23:00.0000,6.864193e+09,9.866599,190.746345,2.151200e-07,299792329.017319,4.302399e-07,1.003551e-08,2.050845e-07,152.090278,5.073186e-04
2024-Dec-24 11:24:00.0000,6.864026e+09,9.866360,190.748803,2.151252e-07,299792329.014192,4.302503e-07,1.003551e-08,2.050897e-07,152.195259,5.076687e-04
