Z,symbol,step,energy_eV,status,split,source
22,Ti,13,787.84,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,14,863.1,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,15,941.9,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,16,1044.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,17,1131.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,18,1221.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,19,1346.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,20,1425.4,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,21,6249.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,22,6625.82,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,1,6.7462,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,2,14.66,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,3,29.311,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,4,46.709,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,5,65.2817,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,6,128.13,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,7,150.6,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,8,173.4,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,9,205.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,10,230.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,11,255.7,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,12,308.1,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
23,V,13,336.277,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
