Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
13,Al,11,442.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,574.8289478515783,0.30051798156465676,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
13,Al,12,2085.98,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,2299.315791406313,0.10227125447334734,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
13,Al,13,2304.141,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,2299.315791406313,0.002094146405834958,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
14,Si,1,8.15169,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,296.2960021765417,35.347800539095786,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098993207313461e-10,0.0,True,True,COMPUTED
14,Si,2,16.34585,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,296.2960021765417,17.126680605569106,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098993207313461e-10,0.0,True,True,COMPUTED
14,Si,3,33.49302,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,296.2960021765417,7.846500022289471,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098993207313461e-10,0.0,True,True,COMPUTED
14,Si,4,45.14181,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,296.2960021765417,5.563671287804847,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098993207313461e-10,0.0,True,True,COMPUTED
14,Si,5,166.767,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,666.666004897219,2.997589480516043,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
14,Si,6,205.27,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,666.666004897219,2.247751765466064,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
14,Si,7,246.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,666.666004897219,1.704527403234154,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
14,Si,8,303.54,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,666.666004897219,1.1963036334493606,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
14,Si,9,351.12,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,666.666004897219,0.8986842244737382,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
14,Si,10,401.37,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,666.666004897219,0.6609761688646858,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
14,Si,11,476.36,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,666.666004897219,0.39950038814597977,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
14,Si,12,523.42,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,666.666004897219,0.2736731590256754,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
14,Si,13,2437.63,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,2666.664019588876,0.09395766362773501,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
14,Si,14,2673.182,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,2666.664019588876,0.0024382853135790877,3.7798372207357145e-12,0.010437265486051188,3.945116456687652e-14,14.0,6.098992251888794e-10,0.0,True,True,COMPUTED
15,P,1,10.48669,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,340.13635670797623,31.435054026387377,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,2,19.7694,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,340.13635670797623,16.205193718978634,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,3,30.2027,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,340.13635670797623,10.261786420021265,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,4,51.4439,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,340.13635670797623,5.6117918102627575,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,5,65.0251,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,340.13635670797623,4.230847114544633,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,6,220.421,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,765.3068025929467,2.472023094863678,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,7,263.57,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,765.3068025929467,1.9036187828392712,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,8,309.6,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,765.3068025929467,1.4719211970056416,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,9,372.13,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,765.3068025929467,1.0565576615509278,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,10,424.4,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,765.3068025929467,0.8032676781172167,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,11,479.46,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,765.3068025929467,0.5961848800587051,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,12,560.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,765.3068025929467,0.3646697621129579,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,13,611.74,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,765.3068025929467,0.2510327959475377,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,14,2816.91,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,3061.227210371787,0.0867323451483317,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
15,P,15,3069.842,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,3061.227210371787,0.002806264826728282,3.5278480726866665e-12,0.011981554767150598,4.226910489308198e-14,15.0,6.098991412080917e-10,0.0,True,True,COMPUTED
16,S,1,10.36001,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,386.9998002420368,36.35515701645431,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098993663730712e-10,0.0,True,True,COMPUTED
16,S,2,23.3379,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,386.9998002420368,15.582460300285664,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098993663730712e-10,0.0,True,True,COMPUTED
16,S,3,34.79,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,386.9998002420368,10.123880432366681,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098993663730712e-10,0.0,True,True,COMPUTED
16,S,4,47.222,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,386.9998002420368,7.195328453729974,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098993663730712e-10,0.0,True,True,COMPUTED
16,S,5,72.5945,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,386.9998002420368,4.33097962300225,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098993663730712e-10,0.0,True,True,COMPUTED
16,S,6,88.053,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,386.9998002420368,3.395077967156563,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098993663730712e-10,0.0,True,True,COMPUTED
16,S,7,280.948,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,870.7495505445829,2.099326389739678,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098992584414043e-10,0.0,True,True,COMPUTED
16,S,8,328.75,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,870.7495505445829,1.6486678343561458,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098992584414043e-10,0.0,True,True,COMPUTED
16,S,9,379.55,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,870.7495505445829,1.294162957567074,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098992584414043e-10,0.0,True,True,COMPUTED
16,S,10,447.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,870.7495505445829,0.9458090514962747,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098992584414043e-10,0.0,True,True,COMPUTED
16,S,11,504.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,870.7495505445829,0.7249396801596333,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098992584414043e-10,0.0,True,True,COMPUTED
16,S,12,564.44,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,870.7495505445829,0.5426786736315337,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098992584414043e-10,0.0,True,True,COMPUTED
16,S,13,652.2,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,870.7495505445829,0.3350959069987471,3.30735756814375e-12,0.013632346757291348,4.508704521928745e-14,16.0,6.098992584414043e-10,0.0,True,True,COMPUTED
