kind,formula,families,pred,obs,rel,origin
energy,H I 4→3,H I,0.6610278531250544,1.8483696261225844,0.6423724758387612,COMPUTED Rydberg+μ
path_Δr/a0,H I 4→3,H I,7.003812319150393,1.3163461168401311,4.320646469458152,COMPUTED Rydberg+μ
lambda_nm,H I 4→3,H I,1875.627446665923,670.776,1.7962053601588654,COMPUTED Rydberg+μ
path_ratio,H I 4→3,H I,1.777777777777778,1.5216460828175944,0.16832540618506425,COMPUTED Rydberg+μ
r_lower/a0,H I 4→3 r_lo,H I,9.004901553193362,2.5234467586339027,2.568492785664426,COMPUTED Rydberg+μ
r_upper/a0,H I 4→3 r_hi,H I,16.008713872343755,3.839792875474034,3.1691607832798616,COMPUTED Rydberg+μ
energy,He II 4→3,He II,2.645191534549178,1.8483696261225844,0.43109446139197055,COMPUTED Rydberg+μ
path_Δr/a0,He II 4→3,He II,1.7502381058420546,1.3163461168401311,0.3296184669450574,COMPUTED Rydberg+μ
lambda_nm,He II 4→3,He II,468.71539097954576,670.776,0.30123410649822624,COMPUTED Rydberg+μ
path_ratio,He II 4→3,He II,1.7777777777777777,1.5216460828175944,0.1683254061850641,COMPUTED Rydberg+μ
r_lower/a0,He II 4→3 r_lo,He II,2.250306136082642,2.5234467586339027,0.10824108795508265,COMPUTED Rydberg+μ
r_upper/a0,He II 4→3 r_hi,He II,4.000544241924697,3.839792875474034,0.04186459313402882,COMPUTED Rydberg+μ
energy,He I 2¹P→1s²,He I,21.218181238889027,1.8483696261225844,10.479403761573083,MEASURED
path_Δr/a0,He I 2¹P→1s²,He I,3.4848969492016333,1.3163461168401311,1.647401701284367,MEASURED
lambda_nm,He I 2¹P→1s²,He I,58.433,670.776,0.9128874616861665,MEASURED
path_ratio,He I 2¹P→1s²,He I,7.297693529927711,1.5216460828175944,3.795920426131386,MEASURED
r_lower/a0,He I 2¹P→1s² r_lo,He I,0.5533608348264027,2.5234467586339027,0.7807123003752332,MEASURED
r_upper/a0,He I 2¹P→1s² r_hi,He I,4.038257784028036,3.839792875474034,0.05168635782978298,MEASURED
energy,He I 3¹P→1s²,He I,23.08520702324983,1.8483696261225844,11.489497066491404,COMPUTED δ=-0.0095 from 2¹P
path_Δr/a0,He I 3¹P→1s²,He I,8.503980319338678,1.3163461168401311,5.460292023918719,COMPUTED δ=-0.0095 from 2¹P
lambda_nm,He I 3¹P→1s²,He I,53.707206657636604,670.776,0.9199327246985036,COMPUTED δ=-0.0095 from 2¹P
path_ratio,He I 3¹P→1s²,He I,16.367875324979405,1.5216460828175944,9.756690080436716,COMPUTED δ=-0.0095 from 2¹P
r_lower/a0,He I 3¹P→1s² r_lo,He I,0.5533608348264027,2.5234467586339027,0.7807123003752332,COMPUTED δ=-0.0095 from 2¹P
r_upper/a0,He I 3¹P→1s² r_hi,He I,9.057341154165082,3.839792875474034,1.3588098233155157,COMPUTED δ=-0.0095 from 2¹P
energy,He I 4¹P→1s²,He I,23.741066623389003,1.8483696261225844,11.844328476221396,COMPUTED δ=-0.0095 from 2¹P
path_Δr/a0,He I 4¹P→1s²,He I,15.523063689475723,1.3163461168401311,10.792539584299151,COMPUTED δ=-0.0095 from 2¹P
lambda_nm,He I 4¹P→1s²,He I,52.22351649148512,670.776,0.9221446257894064,COMPUTED δ=-0.0095 from 2¹P
path_ratio,He I 4¹P→1s²,He I,29.052335316332123,1.5216460828175944,18.092702070731608,COMPUTED δ=-0.0095 from 2¹P
r_lower/a0,He I 4¹P→1s² r_lo,He I,0.5533608348264027,2.5234467586339027,0.7807123003752332,COMPUTED δ=-0.0095 from 2¹P
r_upper/a0,He I 4¹P→1s² r_hi,He I,16.076424524302126,3.839792875474034,3.186794716711756,COMPUTED δ=-0.0095 from 2¹P
energy,He I 3¹P→2¹P,He I,1.867025784360802,1.8483696261225844,0.010093304918320684,COMPUTED δ=-0.0095 from 2¹P
path_Δr/a0,He I 3¹P→2¹P,He I,5.019083370137046,1.3163461168401311,2.8128903226343533,COMPUTED δ=-0.0095 from 2¹P
lambda_nm,He I 3¹P→2¹P,He I,664.0733056380776,670.776,0.00999244809283925,COMPUTED δ=-0.0095 from 2¹P
path_ratio,He I 3¹P→2¹P,He I,2.2428833518227425,1.5216460828175944,0.4739849017122634,COMPUTED δ=-0.0095 from 2¹P
