Z,A,symbol,radius_fm,unc_radius_fm,c_boundary_q1_fm,c_boundary_q2_fm,beta_q1,beta_q2,inside_q1,inside_q2
36,72,Kr,4.1635,0.0060,101.4458517432,202.8917034864,0.041041599320783294,0.020520799660391647,1,1
36,74,Kr,4.187,0.0041,101.4458517432,202.8917034864,0.04127324999546528,0.02063662499773264,1,1
36,75,Kr,4.2097,0.0041,101.4458517432,202.8917034864,0.04149701468973254,0.02074850734486627,1,1
36,76,Kr,4.202,0.0036,101.4458517432,202.8917034864,0.041421112128241004,0.020710556064120502,1,1
36,77,Kr,4.2082,0.0037,101.4458517432,202.8917034864,0.04148222847645497,0.020741114238227484,1,1
36,78,Kr,4.2038,0.0033,101.4458517432,202.8917034864,0.041438855584174095,0.020719427792087047,1,1
36,79,Kr,4.2034,0.0032,101.4458517432,202.8917034864,0.04143491259396674,0.02071745629698337,1,1
36,80,Kr,4.197,0.0029,101.4458517432,202.8917034864,0.04137182475064909,0.020685912375324546,1,1
36,81,Kr,4.1952,0.0026,101.4458517432,202.8917034864,0.041354081294716,0.020677040647358,1,1
36,82,Kr,4.1919,0.0025,101.4458517432,202.8917034864,0.04132155162550535,0.020660775812752673,1,1
36,83,Kr,4.1871,0.0023,101.4458517432,202.8917034864,0.04127423574301711,0.020637117871508556,1,1
36,84,Kr,4.1884,0.0022,101.4458517432,202.8917034864,0.04128705046119101,0.020643525230595504,1,1
36,85,Kr,4.1846,0.0022,101.4458517432,202.8917034864,0.04124959205422115,0.020624796027110575,1,1
36,86,Kr,4.1835,0.0021,101.4458517432,202.8917034864,0.04123874883115094,0.02061937441557547,1,1
36,87,Kr,4.1984,0.0027,101.4458517432,202.8917034864,0.04138562521637483,0.020692812608187415,1,1
36,88,Kr,4.2171,0.0043,101.4458517432,202.8917034864,0.04156996000856857,0.020784980004284286,1,1
36,89,Kr,4.2286,0.0054,101.4458517432,202.8917034864,0.04168332097702997,0.020841660488514983,1,1
36,90,Kr,4.2423,0.0069,101.4458517432,202.8917034864,0.0418183683916318,0.0209091841958159,1,1
36,91,Kr,4.2543,0.0081,101.4458517432,202.8917034864,0.041936658097852374,0.020968329048926187,1,1
36,92,Kr,4.2724,0.0099,101.4458517432,202.8917034864,0.04211507840473509,0.021057539202367546,1,1
36,93,Kr,4.2794,0.0107,101.4458517432,202.8917034864,0.042184080733363764,0.021092040366681882,1,1
36,94,Kr,4.3002,0.0129,101.4458517432,202.8917034864,0.042389116224146116,0.021194558112073058,1,1
36,95,Kr,4.3067,0.0136,101.4458517432,202.8917034864,0.0424531898150156,0.0212265949075078,1,1
36,96,Kr,4.3267,0.0158,101.4458517432,202.8917034864,0.04265033932538323,0.021325169662691615,1,1
37,76,Rb,4.2273,0.0070,104.2637920694,208.5275841388,0.04054427635996806,0.02027213817998403,1,1
37,77,Rb,4.2356,0.0080,104.2637920694,208.5275841388,0.04062388213523543,0.020311941067617714,1,1
37,78,Rb,4.2385,0.0083,104.2637920694,208.5275841388,0.040651696201292706,0.020325848100646353,1,1
37,79,Rb,4.2284,0.0065,104.2637920694,208.5275841388,0.0405548265229553,0.02027741326147765,1,1
37,80,Rb,4.2271,0.0061,104.2637920694,208.5275841388,0.04054235814851584,0.02027117907425792,1,1
37,81,Rb,4.2213,0.0051,104.2637920694,208.5275841388,0.040486730016401296,0.020243365008200648,1,1
37,82,Rb,4.216,0.0042,104.2637920694,208.5275841388,0.04043589741291732,0.02021794870645866,1,1
37,83,Rb,4.2058,0.0028,104.2637920694,208.5275841388,0.0403380686288538,0.0201690343144269,1,1
37,84,Rb,4.1999,0.0023,104.2637920694,208.5275841388,0.040281481391013146,0.020140740695506573,1,1
37,85,Rb,4.2036,0.0024,104.2637920694,208.5275841388,0.04031696830287932,0.02015848415143966,1,1
37,86,Rb,4.2025,0.0023,104.2637920694,208.5275841388,0.040306418139892074,0.020153209069946037,1,1
37,87,Rb,4.1989,0.0021,104.2637920694,208.5275841388,0.04027189033375202,0.02013594516687601,1,1
37,88,Rb,4.217,0.0038,104.2637920694,208.5275841388,0.04044548847017844,0.02022274423508922,1,1
37,89,Rb,4.2391,0.0074,104.2637920694,208.5275841388,0.040657450835649374,0.020328725417824687,1,1
