Z,N,A,symbol,radius_fm,unc_radius_fm,source
50,61,111,Sn,4.5836,0.0024,IAEA LiveChart
50,62,112,Sn,4.5948,0.0022,IAEA LiveChart
50,63,113,Sn,4.6015,0.0021,IAEA LiveChart
50,64,114,Sn,4.6099,0.0020,IAEA LiveChart
50,65,115,Sn,4.6148,0.0019,IAEA LiveChart
50,66,116,Sn,4.6250,0.0019,IAEA LiveChart
50,67,117,Sn,4.6302,0.0019,IAEA LiveChart
50,68,118,Sn,4.6393,0.0019,IAEA LiveChart
50,69,119,Sn,4.6438,0.0020,IAEA LiveChart
50,70,120,Sn,4.6519,0.0021,IAEA LiveChart
50,71,121,Sn,4.6566,0.0021,IAEA LiveChart
50,72,122,Sn,4.6634,0.0022,IAEA LiveChart
50,73,123,Sn,4.6665,0.0023,IAEA LiveChart
50,74,124,Sn,4.6735,0.0023,IAEA LiveChart
50,75,125,Sn,4.6765,0.0026,IAEA LiveChart
50,76,126,Sn,4.6833,0.0043,IAEA LiveChart
50,77,127,Sn,4.6867,0.0048,IAEA LiveChart
50,78,128,Sn,4.6921,0.0054,IAEA LiveChart
50,79,129,Sn,4.6934,0.0058,IAEA LiveChart
50,80,130,Sn,4.7019,0.0066,IAEA LiveChart
50,81,131,Sn,4.7078,0.0073,IAEA LiveChart
50,82,132,Sn,4.7093,0.0076,IAEA LiveChart
51,70,121,Sb,4.6802,0.0026,IAEA LiveChart
51,72,123,Sb,4.6879,0.0025,IAEA LiveChart
52,64,116,Te,4.6847,0.0128,IAEA LiveChart
52,66,118,Te,4.6956,0.0105,IAEA LiveChart
52,68,120,Te,4.7038,0.0088,IAEA LiveChart
52,70,122,Te,4.7095,0.0031,IAEA LiveChart
52,71,123,Te,4.7117,0.0035,IAEA LiveChart
52,72,124,Te,4.7183,0.0029,IAEA LiveChart
52,73,125,Te,4.7204,0.0030,IAEA LiveChart
52,74,126,Te,4.7266,0.0032,IAEA LiveChart
52,76,128,Te,4.7346,0.0029,IAEA LiveChart
52,78,130,Te,4.7423,0.0025,IAEA LiveChart
52,80,132,Te,4.7500,0.0031,IAEA LiveChart
52,82,134,Te,4.7569,0.0041,IAEA LiveChart
52,84,136,Te,4.7815,0.0089,IAEA LiveChart
53,74,127,I,4.7500,0.0081,IAEA LiveChart
54,62,116,Xe,4.7211,0.0096,IAEA LiveChart
54,64,118,Xe,4.7387,0.0070,IAEA LiveChart
54,66,120,Xe,4.7509,0.0063,IAEA LiveChart
54,68,122,Xe,4.7590,0.0059,IAEA LiveChart
54,70,124,Xe,4.7661,0.0055,IAEA LiveChart
54,72,126,Xe,4.7722,0.0052,IAEA LiveChart
54,73,127,Xe,4.7747,0.0038,IAEA LiveChart
54,74,128,Xe,4.7774,0.0050,IAEA LiveChart
54,75,129,Xe,4.7775,0.0050,IAEA LiveChart
54,76,130,Xe,4.7818,0.0049,IAEA LiveChart
54,77,131,Xe,4.7808,0.0049,IAEA LiveChart
54,78,132,Xe,4.7859,0.0048,IAEA LiveChart
54,79,133,Xe,4.7831,0.0048,IAEA LiveChart
54,80,134,Xe,4.7899,0.0047,IAEA LiveChart
54,82,136,Xe,4.7964,0.0047,IAEA LiveChart
54,83,137,Xe,4.8094,0.0049,IAEA LiveChart
54,84,138,Xe,4.8279,0.0079,IAEA LiveChart
54,85,139,Xe,4.8409,0.0100,IAEA LiveChart
54,86,140,Xe,4.8566,0.0125,IAEA LiveChart
54,87,141,Xe,4.8694,0.0147,IAEA LiveChart
54,88,142,Xe,4.8841,0.0169,IAEA LiveChart
54,89,143,Xe,4.8942,0.0187,IAEA LiveChart
54,90,144,Xe,4.9082,0.0208,IAEA LiveChart
54,92,146,Xe,4.9315,0.0245,IAEA LiveChart
55,63,118,Cs,4.7832,0.0092,IAEA LiveChart
55,64,119,Cs,4.7896,0.0089,IAEA LiveChart
55,65,120,Cs,4.7915,0.0075,IAEA LiveChart
55,66,121,Cs,4.7769,0.0078,IAEA LiveChart
55,67,122,Cs,4.7773,0.0070,IAEA LiveChart
55,68,123,Cs,4.7820,0.0070,IAEA LiveChart
55,69,124,Cs,4.7828,0.0062,IAEA LiveChart
55,70,125,Cs,4.7880,0.0062,IAEA LiveChart
55,71,126,Cs,4.7872,0.0056,IAEA LiveChart
55,72,127,Cs,4.7936,0.0055,IAEA LiveChart
55,73,128,Cs,4.7921,0.0052,IAEA LiveChart
55,74,129,Cs,4.7981,0.0050,IAEA LiveChart
55,75,130,Cs,4.7992,0.0049,IAEA LiveChart
55,76,131,Cs,4.8026,0.0047,IAEA LiveChart
55,77,132,Cs,4.8002,0.0046,IAEA LiveChart
55,78,133,Cs,4.8041,0.0046,IAEA LiveChart
55,79,134,Cs,4.8031,0.0046,IAEA LiveChart
55,80,135,Cs,4.8067,0.0047,IAEA LiveChart
55,81,136,Cs,4.8059,0.0052,IAEA LiveChart
55,82,137,Cs,4.8128,0.0050,IAEA LiveChart
55,83,138,Cs,4.8255,0.0050,IAEA LiveChart
55,84,139,Cs,4.8422,0.0069,IAEA LiveChart
55,85,140,Cs,4.8554,0.0088,IAEA LiveChart
55,86,141,Cs,4.8689,0.0108,IAEA LiveChart
55,87,142,Cs,4.8825,0.0132,IAEA LiveChart
