obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"345.449"	"345.4498"	"1.1e+08"	C+	"0.431815"	"4.020881"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"11/2"	10	12		
"345.622"	"345.6223"	"1.9e+07"	C	"0.224328"	"3.811603"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"1/2"	4	2		
""	"345.7913"	"1.8e+05"	D	"0.101171"	"3.686692"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"7/2"	8	8		
""	"346.1711"	"3.1e+05"	D	"0.922741"	"4.504329"	"3p6.3d8.(3F).4s"	"a 2F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"5/2"	8	6		
"346.379"	"346.3795"	"7.9e+07"	C+	"0.629323"	"4.208755"	"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	"3p6.3d8.(3F).4p"	"*"	"5/2"	4	6		
"346.679"	"346.6779"	"9.2e+06"	C	"0.000000"	"3.576351"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"11/2"	10	12		
""	"347.4965"	"3.4e+06"	C	"0.000000"	"3.567927"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4F*"	"7/2"	10	8		
"347.501"	"347.5035"	"5.6e+07"	B	"0.581508"	"4.149363"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	6	8		
""	"347.5523"	"3.8e+05"	C	"0.581508"	"4.148862"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"5/2"	6	6		
"348.441"	"348.4402"	"5.5e+06"	C+	"0.513624"	"4.071888"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"9/2"	8	10		
""	"348.4792"	"2.5e+05"	D	"0.174426"	"3.732291"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"5/2"	6	6		
