obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"800.485"	"1.0e+06"	E	"8.1147813"	"9.663645"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).6s"	"4P"	"3/2"	4	4		
""	"804.966"	"2.3e+06"	D	"8.1567289"	"9.696970"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).6s"	"4P"	"5/2"	8	6		
""	"806.715"	"1.5e+06"	E	"8.1052879"	"9.642189"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	"3s2.3p2.(3P).6s"	"4P"	"1/2"	2	2		
""	"809.230"	"2.0e+06"	D	"8.1315198"	"9.663645"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).6s"	"4P"	"3/2"	6	4		
""	"811.729"	"1.5e+06"	E	"8.1147813"	"9.642189"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).6s"	"4P"	"1/2"	4	2		
"863.9951"	"863.996"	"7.9e+06"	D	"7.9646942"	"9.399703"	"3s2.3p2.(3P).4p"	"2S*"	"1/2"	"3s2.3p2.(3P).4d"	"2P"	"1/2"	2	2		
"874.3930"	"874.393"	"9.1e+06"	D	"7.9646942"	"9.382639"	"3s2.3p2.(3P).4p"	"2S*"	"1/2"	"3s2.3p2.(3P).4d"	"2P"	"3/2"	2	4		
""	"878.995"	"9.1e-06"	C	"0.000000"	"1.410522"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p3"	"2D*"	"5/2"	4	6	M1	
""	"878.995"	"1.9e-04"	D	"0.000000"	"1.410522"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p3"	"2D*"	"5/2"	4	6	E2	
""	"880.203"	"1.77e-04"	C	"0.000000"	"1.408587"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p3"	"2D*"	"3/2"	4	4	M1	
""	"880.203"	"1.2e-04"	D	"0.000000"	"1.408587"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p3"	"2D*"	"3/2"	4	4	E2	
"917.8337"	"917.8331"	"5.0e+06"	D	"6.9356043"	"8.2864403"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4S*"	"3/2"	2	4		
"930.749"	"930.7501"	"9.6e+06"	D	"6.9543513"	"8.2864403"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4S*"	"3/2"	4	4		
"952.834"	"952.8354"	"1.4e+07"	D	"6.9852271"	"8.2864403"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).4p"	"4S*"	"3/2"	6	4		
"956.6062"	"956.6067"	"8.1e+06"	D	"6.9543513"	"8.2504346"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	4	6		
"959.613"	"959.6136"	"1.1e+07"	D	"6.9356043"	"8.2276264"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	2	4		
"961.168"	"961.1672"	"4.4e+06"	E	"6.9356043"	"8.2255380"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	2	2		
"973.7420"	"973.7425"	"3.5e+06"	E	"6.9543513"	"8.2276264"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	4	4		
"975.344"	"975.3422"	"2.2e+07"	D	"6.9543513"	"8.2255380"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	4	2		
"979.289"	"979.2879"	"4.5e+06"	D	"7.1757806"	"8.4418455"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	"3s2.3p2.(3P).4p"	"2P*"	"3/2"	2	4		
"979.954"	"979.9515"	"1.8e+07"	D	"6.9852271"	"8.2504346"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	6	6		
"990.640"	"990.6387"	"1.8e+07"	D	"7.1757806"	"8.4273389"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	"3s2.3p2.(3P).4p"	"2P*"	"1/2"	2	2		
"997.941"	"997.9416"	"1.1e+07"	D	"6.9852271"	"8.2276264"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	6	4		
"1008.703"	"1008.7041"	"2.1e+07"	D	"7.2127021"	"8.4418455"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	"3s2.3p2.(3P).4p"	"2P*"	"3/2"	4	4		
""	"1020.7513"	"8.3e+06"	D	"7.2127021"	"8.4273389"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	"3s2.3p2.(3P).4p"	"2P*"	"1/2"	4	2		
"1051.446"	"1051.4469"	"8.8e+06"	D	"6.9356043"	"8.1147813"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	2	4		
"1053.241"	"1053.2409"	"1.5e+07"	D	"6.9543513"	"8.1315198"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	4	6		
""	"1058.3356"	"2.1e+07"	D	"6.9852271"	"8.1567289"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	6	8		
"1059.980"	"1059.9806"	"1.7e+07"	D	"6.9356043"	"8.1052879"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	2	2		
"1068.433"	"1068.4333"	"1.1e+07"	D	"6.9543513"	"8.1147813"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	4	4		
""	"1077.2461"	"3.3e+06"	E	"6.9543513"	"8.1052879"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	4	2		
"1081.609"	"1081.6103"	"6.0e+06"	D	"6.9852271"	"8.1315198"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	6	6		
""	"1097.6383"	"9.5e+05"	E	"6.9852271"	"8.1147813"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	6	4		
""	"1353.731"	"3.41e-02"	C	"1.408587"	"2.324457"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"3/2"	4	4	M1	
""	"1353.731"	"4.05e-02"	C	"1.408587"	"2.324457"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"3/2"	4	4	E2	
""	"1356.598"	"1.90e-02"	C	"1.410522"	"2.324457"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p3"	"2P*"	"3/2"	6	4	M1	
""	"1356.598"	"9.4e-02"	C	"1.410522"	"2.324457"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p3"	"2P*"	"3/2"	6	4	E2	
""	"1358.384"	"2.11e-02"	C	"1.408587"	"2.321320"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"1/2"	4	2	M1	
""	"1358.384"	"8.0e-02"	C	"1.408587"	"2.321320"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"1/2"	4	2	E2	
""	"1361.270"	"5.3e-02"	C	"1.410522"	"2.321320"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p3"	"2P*"	"1/2"	6	2	E2	
