API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Cassini (spacecraft) (-82)      {source: cassini_merge}
Center body name: Sun (10)                        {source: cassini_merge}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 TDB
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452432.604166667, A.D. 2002-Jun-07 02:30:00.0000,  8.664859050136458E+06,  1.102952126000228E+09, -9.660777089442968E+06, -6.371639011916368E+00,  5.903947807144887E+00,  2.180650952851293E-02,
2452432.614583333, A.D. 2002-Jun-07 02:45:00.0000,  8.659124574691635E+06,  1.102957439508927E+09, -9.660757463201642E+06, -6.371639754272057E+00,  5.903849301061507E+00,  2.180736002230255E-02,
2452432.625000000, A.D. 2002-Jun-07 03:00:00.0000,  8.653390098578932E+06,  1.102962752928970E+09, -9.660737836194873E+06, -6.371640496086598E+00,  5.903750795939010E+00,  2.180821050105086E-02,
2452432.635416667, A.D. 2002-Jun-07 03:15:00.0000,  8.647655621798839E+06,  1.102968066260360E+09, -9.660718208422780E+06, -6.371641237360009E+00,  5.903652291777374E+00,  2.180906096475699E-02,
2452432.645833333, A.D. 2002-Jun-07 03:30:00.0000,  8.641921144351846E+06,  1.102973379503096E+09, -9.660698579885125E+06, -6.371641978092309E+00,  5.903553788576579E+00,  2.180991141342226E-02,
2452432.656250000, A.D. 2002-Jun-07 03:45:00.0000,  8.636186666238436E+06,  1.102978692657180E+09, -9.660678950582147E+06, -6.371642718283517E+00,  5.903455286336601E+00,  2.181076184704711E-02,
2452432.666666667, A.D. 2002-Jun-07 04:00:00.0000,  8.630452187459098E+06,  1.102984005722612E+09, -9.660659320513785E+06, -6.371643457933649E+00,  5.903356785057417E+00,  2.181161226563244E-02,
2452432.677083333, A.D. 2002-Jun-07 04:15:00.0000,  8.624717708014317E+06,  1.102989318699393E+09, -9.660639689680099E+06, -6.371644197042725E+00,  5.903258284739008E+00,  2.181246266917736E-02,
2452432.687500000, A.D. 2002-Jun-07 04:30:00.0000,  8.618983227904584E+06,  1.102994631587524E+09, -9.660620058081031E+06, -6.371644935610762E+00,  5.903159785381350E+00,  2.181331305768364E-02,
2452432.697916667, A.D. 2002-Jun-07 04:45:00.0000,  8.613248747130381E+06,  1.102999944387007E+09, -9.660600425716639E+06, -6.371645673637780E+00,  5.903061286984420E+00,  2.181416343115172E-02,
2452432.708333333, A.D. 2002-Jun-07 05:00:00.0000,  8.607514265692197E+06,  1.103005257097841E+09, -9.660580792586863E+06, -6.371646411123796E+00,  5.902962789548198E+00,  2.181501378958162E-02,
2452432.718750000, A.D. 2002-Jun-07 05:15:00.0000,  8.601779783590520E+06,  1.103010569720028E+09, -9.660561158691764E+06, -6.371647148068829E+00,  5.902864293072660E+00,  2.181586413297376E-02,
2452432.729166667, A.D. 2002-Jun-07 05:30:00.0000,  8.596045300825836E+06,  1.103015882253569E+09, -9.660541524031401E+06, -6.371647884472896E+00,  5.902765797557786E+00,  2.181671446132949E-02,
2452432.739583333, A.D. 2002-Jun-07 05:45:00.0000,  8.590310817398630E+06,  1.103021194698464E+09, -9.660521888605773E+06, -6.371648620336016E+00,  5.902667303003551E+00,  2.181756477464969E-02,
2452432.750000000, A.D. 2002-Jun-07 06:00:00.0000,  8.584576333309393E+06,  1.103026507054715E+09, -9.660502252414823E+06, -6.371649355658207E+00,  5.902568809409937E+00,  2.181841507293303E-02,
2452432.760416667, A.D. 2002-Jun-07 06:15:00.0000,  8.578841848558608E+06,  1.103031819322322E+09, -9.660482615458608E+06, -6.371650090439489E+00,  5.902470316776918E+00,  2.181926535618128E-02,
2452432.770833333, A.D. 2002-Jun-07 06:30:00.0000,  8.573107363146765E+06,  1.103037131501285E+09, -9.660462977737188E+06, -6.371650824679877E+00,  5.902371825104474E+00,  2.182011562439579E-02,
2452432.781250000, A.D. 2002-Jun-07 06:45:00.0000,  8.567372877074348E+06,  1.103042443591607E+09, -9.660443339250505E+06, -6.371651558379392E+00,  5.902273334392582E+00,  2.182096587757565E-02,
2452432.791666667, A.D. 2002-Jun-07 07:00:00.0000,  8.561638390341844E+06,  1.103047755593287E+09, -9.660423699998617E+06, -6.371652291538052E+00,  5.902174844641220E+00,  2.182181611572176E-02,
2452432.802083333, A.D. 2002-Jun-07 07:15:00.0000,  8.555903902949741E+06,  1.103053067506328E+09, -9.660404059981465E+06, -6.371653024155873E+00,  5.902076355850367E+00,  2.182266633883501E-02,
2452432.812500000, A.D. 2002-Jun-07 07:30:00.0000,  8.550169414898526E+06,  1.103058379330728E+09, -9.660384419199169E+06, -6.371653756232875E+00,  5.901977868019998E+00,  2.182351654691583E-02,
