API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:34 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Cassini (spacecraft) (-82)      {source: cassini_merge}
Center body name: Earth (399)                     {source: cassini_merge}
Center-site name: DSS-25 (34-m BWG)
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 UT      
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 UT      
Step-size       : 15 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 243.1246368, 35.337612, .959628 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 243.1246368,5209.63556,3669.04057 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: cassini_merge}
Rel. light bend : Sun                             {source: cassini_merge}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
RTS-only print  : NO       
EOP file        : eop.260807.p261103                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-07. PREDICTS-> 2026-NOV-02
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , ,            delta,     deldot,
 2002-Jun-07 18:15,*,m, 8.36809905298486, 11.4160219,
 2002-Jun-07 18:30,*,m, 8.36816777631769, 11.4309131,
 2002-Jun-07 18:45,*,m, 8.36823659162805, 11.4465854,
 2002-Jun-07 19:00,*,m, 8.36830550335755, 11.4629527,
 2002-Jun-07 19:15,*,m, 8.36837451542161, 11.4799262,
 2002-Jun-07 19:30,*,m, 8.36844363119272, 11.4974143,
 2002-Jun-07 19:45,*,m, 8.36851285348581, 11.5153232,
 2002-Jun-07 20:00,*,m, 8.36858218454626, 11.5335575,
 2002-Jun-07 20:15,*,m, 8.36865162604013, 11.5520201,
 2002-Jun-07 20:30,*,m, 8.36872117904706, 11.5706132,
 2002-Jun-07 20:45,*,t, 8.36879084405557, 11.5892381,
 2002-Jun-07 21:00,*,m, 8.36886062096099, 11.6077964,
 2002-Jun-07 21:15,*,m, 8.36893050906591, 11.6261896,
 2002-Jun-07 21:30,*,m, 8.36900050708314, 11.6443201,
 2002-Jun-07 21:45,*,m, 8.36907061314128, 11.6620914,
 2002-Jun-07 22:00,*,m, 8.36914082479274, 11.6794086,
 2002-Jun-07 22:15,*,m, 8.36921113902429, 11.6961785,
 2002-Jun-07 22:30,*,m, 8.36928155227002, 11.7123105,
 2002-Jun-07 22:45,*,m, 8.36935206042663, 11.7277168,
 2002-Jun-07 23:00,*,m, 8.36942265887116, 11.7423125,
 2002-Jun-07 23:15,*,m, 8.36949334248080, 11.7560164,
 2002-Jun-07 23:30,*,m, 8.36956410565497, 11.7687509,
 2002-Jun-07 23:45,*,m, 8.36963494233940, 11.7804427,
 2002-Jun-08 00:00,*,m, 8.36970584605218, 11.7910231,
 2002-Jun-08 00:15,*, , 8.36977680991159, 11.8004280,
 2002-Jun-08 00:30,*, , 8.36984782666580, 11.8085984,
 2002-Jun-08 00:45,*, , 8.36991888872396, 11.8154806,
 2002-Jun-08 01:00,*, , 8.36998998818895, 11.8210266,
 2002-Jun-08 01:15,*, , 8.37006111689127, 11.8251939,
 2002-Jun-08 01:30,*, , 8.37013226642422, 11.8279461,
 2002-Jun-08 01:45,*, , 8.37020342818007, 11.8292528,
 2002-Jun-08 02:00,*, , 8.37027459338707, 11.8290899,
 2002-Jun-08 02:15,*, , 8.37034575314716, 11.8274396,
 2002-Jun-08 02:30,*, , 8.37041689847432, 11.8242904,
 2002-Jun-08 02:45,*, , 8.37048802033314, 11.8196373,
 2002-Jun-08 03:00,*, , 8.37055910967776, 11.8134819,
 2002-Jun-08 03:15,C, , 8.37063015749070, 11.8058322,
 2002-Jun-08 03:30,C, , 8.37070115482174, 11.7967024,
 2002-Jun-08 03:45,N, , 8.37077209282633, 11.7861133,
 2002-Jun-08 04:00,N,s, 8.37084296280373, 11.7740920,
 2002-Jun-08 04:15,A, , 8.37091375623434, 11.7606717,
 2002-Jun-08 04:30,A, , 8.37098446481641, 11.7458915,
 2002-Jun-08 04:45,A, , 8.37105508050175, 11.7297965,
 2002-Jun-08 05:00, , , 8.37112559553030, 11.7124375,
 2002-Jun-08 05:15, , , 8.37119600246357, 11.6938705,
