line_index,Z,symbol,transition,level,seat_i,seat_j,static_distance_m,static_radial_projection_m,lane_cosine,swept_mean_inverse_distance_m-1,swept_min_distance_m,swept_max_distance_m,swept_distance_variance_m2
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,20,3.1245401477443224e-11,2.7519457618873334e-11,-0.7986541716418107,41130842863.175606,1.674867509320552e-11,3.2148542134761156e-11,2.4603038013881004e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,21,2.6453663943133215e-11,9.98031460526369e-12,-0.08534713286766828,40178531551.10562,1.6801914876392572e-11,3.2240785270501693e-11,1.5065812817606304e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,22,1.9431971729104264e-11,-1.0458958879210914e-11,0.7459067426872384,40996296636.80436,1.7244369462290234e-11,3.244920601075546e-11,2.3327292751006245e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,23,2.963914612374065e-11,2.1315503392200727e-11,-0.5463428522861037,40594573084.85968,1.7186609928696836e-11,3.245819526993851e-11,1.9378093204628208e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,24,2.2545257152679716e-11,-2.1546374393551867e-12,0.40824829046386313,40408846437.97112,1.724517898510534e-11,3.2454619400850044e-11,1.7407334884717187e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,25,1.8898590784565202e-11,-1.1755941807988298e-11,0.7986541716418107,41130627300.62719,1.7097695664576102e-11,3.2421850742618305e-11,2.4602684606130026e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,26,2.5172109021313386e-11,5.7832012056213455e-12,0.08534713286766828,40178324115.09637,1.7373367130219547e-11,3.2442888740835816e-11,1.506546728329058e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,27,3.091649856171306e-11,2.6222474690095958e-11,-0.7459067426872384,40996372792.117966,1.6882744205307115e-11,3.2350979382986336e-11,2.332741462423425e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,28,6.788544662714179e-11,7.881757905442519e-12,0.0,14805811585.517044,6.00350667646779e-11,7.491767806128068e-11,1.5454308057866238e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,29,6.788544662714179e-11,7.881757905442519e-12,0.0,14805811593.636045,5.992914879839334e-11,7.500243230611304e-11,1.545430838678103e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,10,2.474581483206727e-11,7.881797064094613e-12,0.0,42056664225.325264,1.5582470250275835e-11,3.104875006124958e-11,1.4904035195249973e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,11,2.474581483206727e-11,7.881797064094613e-12,0.0,42056462799.12458,1.5754546071067233e-11,3.124907969045713e-11,1.4903745414304968e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,12,2.260996445934039e-11,-4.866157121122521e-12,0.5000000000000004,39091321006.98312,1.806263617352093e-11,3.3156849527877336e-11,1.8702733218124264e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,13,2.2609964459340398e-11,-4.866157121122508e-12,0.4999999999999997,39091299461.90076,1.815065497592677e-11,3.3148115613180174e-11,1.8702693019819686e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,9,14,3.3391416711269665e-11,3.3391416711269665e-11,-1.0,40189990199.88887,1.8064265922464966e-11,3.33767457649887e-11,3.0495654367726163e-23
