Z,k,N_e_before,n_frozen,Zeff_bare,Zeff_ion,E_bare,E_ion,E_obs,rel_bare,rel_ion,jump_flag,rule_closer,tag
12,11,2,1,12,11,1959.175351367618,1646.2515105241791,1761.805,0.11202735340609092,0.06558812665182635,JUMP,ion,COMPUTED
12,12,1,1,12,12,1959.175351367618,1959.175351367618,1962.665,0.0017780154190256037,0.0017780154190256037,,bare,COMPUTED
18,1,18,3,18,1,489.79754264781707,1.5117208106414108,15.75962,30.079273653033326,0.9040763158856996,,ion,COMPUTED
18,2,17,3,18,2,489.79754264781707,6.046883242565643,27.62967,16.727231003765773,0.7811452962498052,,ion,COMPUTED
18,3,16,3,18,3,489.79754264781707,13.605487295772697,40.74,11.022521910844798,0.6660410580320889,,ion,COMPUTED
18,4,15,3,18,4,489.79754264781707,24.187532970262573,59.81,7.1892249230532865,0.5955938309603315,,ion,COMPUTED
18,5,14,3,18,5,489.79754264781707,37.79302026603527,75.02,5.528892863873862,0.49622740247886865,,ion,COMPUTED
18,6,13,3,18,6,489.79754264781707,54.42194918309079,91.009,4.381858306846763,0.40201574368369297,,ion,COMPUTED
18,7,12,3,18,7,489.79754264781707,74.07431972142913,124.323,2.93971785307479,0.40417847283745456,,ion,COMPUTED
18,8,11,3,18,8,489.79754264781707,96.7501318810503,143.46,2.4141749801186183,0.32559506565558144,,ion,COMPUTED
18,9,10,2,18,9,1102.0444709575884,275.5111177393971,422.45,1.6086980020300352,0.3478254994924912,,ion,COMPUTED
18,10,9,2,18,10,1102.0444709575884,340.13718239431745,478.69,1.3022090934792627,0.2894416378150422,,ion,COMPUTED
18,11,8,2,18,11,1102.0444709575884,411.5659906971241,538.96,1.0447611528825669,0.23637006327533755,,ion,COMPUTED
18,12,7,2,18,12,1102.0444709575884,489.79754264781707,618.26,0.7824935641276944,0.2077806381654691,,ion,COMPUTED
18,13,6,2,18,13,1102.0444709575884,574.8318382463965,686.1,0.6062446741839213,0.16217484587320147,,ion,COMPUTED
18,14,5,2,18,14,1102.0444709575884,666.6688774928622,755.74,0.4582322901495069,0.11785947879844633,,ion,COMPUTED
18,15,4,2,18,15,1102.0444709575884,765.3086603872142,854.77,0.2892877276432121,0.1046613002477693,,ion,COMPUTED
