rank  nuclide   Z   N  n_d  n_t   yield%    cum%(x2frag)
 473    In-134   49  85   11   36    0.000    200.0
 474    Ru-117   44  73   13   29    0.000    200.0
 475     Zr-92   40  52   26   12    0.000    200.0
 476      Y-90   39  51   25   12    0.000    200.0
 477    Ce-141   58  83   31   25    0.000    200.0
 478     Ni-71   28  43   11   15    0.000    200.0
 479    Pd-122   46  76   14   30    0.000    200.0
 480    Sb-123   51  72   28   21    0.000    200.0
 481    Gd-163   64  99   27   35    0.000    200.0
 482    Mo-112   42  70   12   28    0.000    200.0
 483    Pd-111   46  65   25   19    0.000    200.0
 484     Ni-74   28  46    8   18    0.000    200.0
 485    Gd-159   64  95   31   31    0.000    200.0
 486    Pm-149   61  88   32   27    0.000    200.0
 487     Cu-71   29  42   14   13    0.000    200.0
 488     Zn-73   30  43   15   13    0.000    200.0
 489    Rb-100   37  63    9   26    0.000    200.0
 490    Zr-106   40  66   12   26    0.000    200.0
 491    Nd-146   60  86   32   26    0.000    200.0
 492     Mo-97   42  55   27   13    0.000    200.0
 493    Sm-162   62 100   22   38    0.000    200.0
 494    Te-128   52  76   26   24    0.000    200.0
 495     Rb-85   37  48   24   11    0.000    200.0
 496     Br-95   35  60    8   25    0.000    200.0
 497    Eu-155   63  92   32   29    0.000    200.0
 498    Eu-163   63 100   24   37    0.000    200.0
 499    Ru-106   44  62   24   18    0.000    200.0
 500    Ce-155   58  97   17   39    0.000    200.0
 501     Zn-82   30  52    6   22    0.000    200.0
 502     Ni-70   28  42   12   14    0.000    200.0
 503    Sb-139   51  88   12   37    0.000    200.0
 504    Cd-128   48  80   14   32    0.000    200.0
 505     As-90   33  57    7   24    0.000    200.0
 506    Ag-125   47  78   14   31    0.000    200.0
 507    Sn-120   50  70   28   20    0.000    200.0
 508    Pr-157   59  98   18   39    0.000    200.0
 509    Gd-164   64 100   26   36    0.000    200.0
 510    Nd-159   60  99   19   39    0.000    200.0
 511    Ba-136   56  80   30   24    0.000    200.0
 512    Te-129   52  77   25   25    0.000    200.0
 513    Cd-132   48  84   10   36    0.000    200.0
 514     I-144   53  91   13   38    0.000    200.0
 515    Pr-144   59  85   31   26    0.000    200.0
 516    Cd-129   48  81   13   33    0.000    200.0
 517    La-153   57  96   16   39    0.000    200.0
 518     Sr-87   38  49   25   11    0.000    200.0
 519    Ru-102   44  58   28   14    0.000    200.0
 520     Ni-75   28  47    7   19    0.000    200.0
 521     Cu-79   29  50    6   21    0.000    200.0
 522    Ba-151   56  95   15   39    0.000    200.0
 523     Ga-73   31  42   18   11    0.000    200.0
 524    Rh-105   45  60   28   15    0.000    200.0
 525    Ag-113   47  66   26   19    0.000    200.0
 526     Y-105   39  66   10   27    0.000    200.0
 527    Zr-107   40  67   11   27    0.000    200.0
 528     Kr-98   36  62    8   26    0.000    200.0
 529    Ru-107   44  63   23   19    0.000    200.0
 530    Gd-158   64  94   32   30    0.000    200.0
 531    Rh-120   45  75   13   30    0.000    200.0
 532    Sr-103   38  65    9   27    0.000    200.0
 533    Cd-127   48  79   15   31    0.000    200.0
 534     Ga-85   31  54    6   23    0.000    200.0
 535    Te-125   52  73   29   21    0.000    200.0
 536     Ni-76   28  48    6   20    0.000    200.0
 537    In-118   49  69   27   20    0.000    200.0
 538    Te-142   52  90   12   38    0.000    200.0
 539    Ru-118   44  74   12   30    0.000    200.0
 540     Se-93   34  59    7   25    0.000    200.0
 541    Cd-115   48  67   27   19    0.000    200.0
 542    Zr-109   40  69    9   29    0.000    200.0
 543     Ge-75   32  43   19   11    0.000    200.0
 544    Pr-143   59  84   32   25    0.000    200.0
 545    Sm-151   62  89   33   27    0.000    200.0
 546    La-138   57  81   31   24    0.000    200.0
 547     Ge-88   32  56    6   24    0.000    200.0
 548    Sn-137   50  87   11   37    0.000    200.0
 549    Gd-165   64 101   25   37    0.000    200.0
 550    Tc-115   43  72   12   29    0.000    200.0
 551    Pd-110   46  64   26   18    0.000    200.0
 552    Pm-161   61 100   20   39    0.000    200.0
 553     Se-78   34  44   22   10    0.000    200.0
 554    Cs-149   55  94   14   39    0.000    200.0
 555    Tb-163   65  98   30   33    0.000    200.0
 556     Ni-69   28  41   13   13    0.000    200.0
 557    Te-127   52  75   27   23    0.000    200.0
 558     Tc-99   43  56   28   13    0.000    200.0
 559    Pd-123   46  77   13   31    0.000    200.0
 560    Eu-164   63 101   23   38    0.000    200.0
 561    Tb-164   65  99   29   34    0.000    200.0
